País,Ouro (Total),Prata (Total),Bronze (Total),Total Geral
Estados Unidos,1166,948,827,2941
União Soviética,473,376,355,1204
Grã-Bretanha,296,320,332,948
Alemanha,293,293,306,892
França,262,293,333,888
Itália,257,224,261,742
China,275,227,194,696
Suécia,205,222,234,661
Austrália,169,178,215,562
Japão,183,172,200,555
Rússia,196,164,187,547
Noruega,192,176,160,528
Canadá,144,172,209,525
Alemanha Oriental,192,165,162,519
Hungria,182,156,180,518
Finlândia,144,148,180,472
Países Baixos,140,148,163,451
Suíça,109,124,125,358
Coreia do Sul,127,116,114,357
Áustria,83,115,128,326
Polônia,79,96,145,320
Romênia,90,97,122,309
Alemanha Ocidental,67,82,94,243
Cuba,85,71,85,241
Bulgária,55,90,85,230
Dinamarca,48,79,79,206
Brasil,41,49,81,171
Espanha,49,72,50,171
Checoslováquia,51,57,60,168
Bélgica,44,56,61,161
Ucrânia,38,37,72,147
Nova Zelândia,53,34,53,140
Equipe Alemã Unida,36,60,41,137
Equipa Unificada,54,44,37,135
Grécia,35,45,41,121
Quênia,35,42,36,113
Turquia,41,26,37,104
Bielorrússia,21,35,47,103
ROC,25,40,38,103
Chéquia,28,32,38,98
Iugoslávia,28,34,32,94
África do Sul,27,33,29,89
Jamaica,26,36,25,87
Cazaquistão,16,24,40,80
Argentina,21,26,30,77
Irã,24,23,29,76
México,13,24,36,73
Etiópia,23,12,23,58
Coreia do Norte,16,17,23,56
Croácia,18,19,15,52
Azerbaijão,7,14,28,49
Eslovênia,10,14,21,45
Estônia,14,11,18,43
Eslováquia,13,18,9,40
Geórgia,10,12,18,40
Egito,8,11,19,38
Indonésia,8,14,15,37
Uzbequistão,11,6,20,37
Taipé Chinês,7,11,18,36
Índia,10,9,16,35
Irlanda,11,10,14,35
Tailândia,10,8,17,35
Colômbia,5,13,16,34
Letônia,5,14,11,30
Mongólia,2,11,17,30
Portugal,5,9,14,28
Nigéria,3,11,13,27
Lituânia,6,7,13,26
Marrocos,7,5,12,24
Sérvia,6,7,11,24
Trinidad e Tobago,3,5,11,19
Venezuela,3,7,9,19
Armênia,2,8,8,18
Argélia,5,4,8,17
Atletas Olímpicos da Rússia,2,6,9,17
Equipa mista,8,5,4,17
Bahamas,8,2,6,16
Tunísia,5,3,7,15
Filipinas,1,5,8,14
Chile,2,7,4,13
Israel,3,1,9,13
Malásia,0,8,5,13
Australásia,3,4,5,12
República Dominicana,3,5,4,12
Uganda,4,4,3,11
Liechtenstein,2,2,6,10
Paquistão,3,3,4,10
Porto Rico,2,2,6,10
Uruguai,2,2,6,10
Hong Kong,2,3,4,9
Catar,2,1,5,8
Império Russo,1,4,3,8
Zimbabwe,3,4,1,8
Quirguistão,0,3,4,7
Camarões,3,1,2,6
Moldávia,0,2,4,6
Equador,3,2,0,5
Gana,0,1,4,5
Namíbia,0,5,0,5
Singapura,1,2,2,5
Vietnã,1,3,1,5
Atletas Individuais Neutros,1,3,1,5
Arábia Saudita,0,2,2,4
Barém,2,2,0,4
Boêmia,0,1,3,4
Costa Rica,1,1,2,4
Costa do Marfim,1,1,2,4
Islândia,0,2,2,4
Líbano,0,2,2,4
Luxemburgo,1,3,0,4
Peru,1,3,0,4
Síria,1,1,2,4
Tajiquistão,1,1,2,4
Fiji,2,0,1,3
Granada,1,1,1,3
Jordânia,1,1,1,3
Kosovo,3,0,0,3
Kuwait,0,0,3,3
Panamá,1,0,2,3
San Marino,0,1,2,3
Participantes Olímpicos Independentes,0,1,2,3
Afeganistão,0,0,2,2
Albânia,0,0,2,2
Bermudas,1,0,1,2
Botsuana,0,1,1,2
Federação das Índias Ocidentais,0,0,2,2
Burundi,1,1,0,2
Emirados Árabes Unidos,1,0,1,2
Haiti,0,1,1,2
Macedônia do Norte,0,1,1,2
Moçambique,1,0,1,2
Níger,0,1,1,2
Santa Lúcia,1,1,0,2
Sérvia e Montenegro,0,2,0,2
Sri Lanka,0,2,0,2
Suriname,1,0,1,2
Tanzânia,0,2,0,2
Zâmbia,0,1,1,2
Atletas Olímpicos Independentes,1,0,1,2
Antilhas Neerlandesas,0,1,0,1
Barbados,0,0,1,1
Burquina Fasso,0,0,1,1
Chipre,0,1,0,1
Djibuti,0,0,1,1
Dominica,1,0,0,1
Equipe Olímpica de Refugiados,0,0,1,1
Eritreia,0,0,1,1
Gabão,0,1,0,1
Guatemala,0,1,0,1
Guiana,0,0,1,1
Ilhas Virgens Americanas,0,1,0,1
Iraque,0,0,1,1
Maurício,0,0,1,1
Montenegro,0,1,0,1
Paraguai,0,1,0,1
Samoa,0,1,0,1
Senegal,0,1,0,1
Sudão,0,1,0,1
Togo,0,0,1,1
Tonga,0,1,0,1
Turcomenistão,0,1,0,1
